Number of Variables,Time,Date,Trasition Name,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,¿ÀÈÄ 10:43:50,19/10/2018,"[['l', ['f:3.659400 r:0.703900']], ['l', ['f:8.960500 r:5.606300']]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,hmi_RCSLT459_VALUE,hmi_RCSLT461_VALUE,hmi_CVCLT149_VALUE,hmi_CVCFT121_VALUE,hmi_CVCPT120_VALUE,hmi_CVCFT142A_VALUE,hmi_CVCFT143A_VALUE,hmi_CVCFT144A_VALUE,hmi_CVCFT145A_VALUE,hmi_CVCFT158_VALUE,hmi_CVCFT159_VALUE,hmi_CVCFT160_VALUE,hmi_CVCFT161B_VALUE,hmi_CVCFT215A_VALUE,hmi_CVCFT215B_VALUE,hmi_CVCTT127A_VALUE,hmi_CVCFT132A_VALUE,hmi_CVCPT115_VALUE,hmi_CSSLT09_VALUE,hmi_CSSLT10_VALUE,hmi_CHSRT311_VALUE,hmi_CHSRT312_VALUE,hmi_CHSRT313_VALUE,hmi_CHSRT321_VALUE,hmi_CHSRT322_VALUE,hmi_CHSRT323_VALUE,hmi_CPSRT221_VALUE,hmi_CPSRT222_VALUE,hmi_CPSRT223_VALUE,hmi_CPSRT331_VALUE,hmi_CPSRT332_VALUE,hmi_CPSRT333_VALUE,hmi_CVCTT130A_VALUE,hmi_CVCIT1_VALUE,hmi_CVCIT7_VALUE,hmi_CVCIT17_VALUE,hmi_RCSTT400A_VALUE,hmi_RCSTT403A_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT420A_VALUE,hmi_RCSTT423_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT443C_VALUE,hmi_RCSTT450B_VALUE,hmi_RCSTT451A_VALUE,hmi_RCSTT452A_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT454_VALUE,hmi_RCSTT463A_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT502_VALUE,hmi_RCSLT517A_VALUE,hmi_RCSLT527A_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSPT455A_VALUE
59,0.926683527,0.82147373,0.353175378,0.30912026,0.816564088,0.688908278,0.209686811,0.773379306,0.609639441,0.557875041,0.944681585,0.240496066,0.301280054,0.925207923,0.818374865,0.384598638,0.890809808,0.188356582,0.617856996,0.715458846,0.622402072,0.625167207,0.041687916,0.289547625,0.640985477,0.917352556,0.182850308,0.354266004,0.19815501,0.014749444,0.399560482,0.83803782,0.625909495,0.603656087,0.675763634,0.894767021,0.527300483,0.405435269,0.03914503,0.549863541,0.157430731,0.241699516,0.993036134,0.0966216,0.930770657,0.224938258,0.798959127,0.802926214,0.752568676,0.959292486,0.934641797,0.485907959,0.535369974,0.411511907,0.573632601,0.871419414,0.247307115,0.887210915,0.043900683,0.30269126,0.25026092,0.200084021
1:00,0.750242437,0.869476205,0.750237331,0.639573722,0.520218269,0.427525776,0.000543236,0.389089052,0.300690355,0.541315638,0.46984587,0.306649406,0.32498645,0.467116106,0.378173385,0.518262737,0.529850957,0.620646064,0.710312511,0.506555056,0.664703998,0.4543976,0.40021661,0.980949851,0.942214201,0.48799779,0.995279023,0.412024278,0.899551015,0.116111493,0.426891783,0.522008259,0.49550661,0.72831996,0.00853976,0.225686049,0.799874169,0.627368445,0.630981395,0.307351011,0.818996444,0.123457719,0.738026048,0.251283137,0.506900873,0.553975093,0.964339073,0.428249468,0.478716289,0.545675709,0.930092043,0.322339229,0.5497672,0.31205356,0.832541641,0.964545876,0.565343892,0.84495137,0.408979504,0.452562597,0.554948707,0.711199128
1:01,0.372958329,0.862880849,0.737519522,0.751332687,0.652034884,0.806582221,0.484772123,0.319549512,0.229651613,0.130390759,0.915630106,0.074477943,0.544088882,0.477903947,0.928184419,0.305832777,0.275172608,0.463236506,0.917063855,0.231960042,0.293821751,0.340840736,0.863617525,0.658869548,0.53762563,0.405260406,0.659972686,0.728009346,0.644658291,0.908613031,0.916332721,0.397258528,0.30584052,0.453638648,0.50625937,0.783005324,0.904741331,0.657110354,0.173454568,0.323529444,0.555378107,0.216983704,0.655727273,0.027857621,0.734297796,0.659487802,0.869777058,0.105777295,0.739022989,0.335000402,0.785456832,0.641246021,0.854933456,0.621448028,0.893251435,0.913295137,0.387424504,0.138507222,0.492038526,0.076371122,0.299376097,0.06355514
1:02,0.225662198,0.783884148,0.331944551,0.5002301,0.663627544,0.511189279,0.875547281,0.981433519,0.533964405,0.77111533,0.67615244,0.868133878,0.272177557,0.433293728,0.373883031,0.968943135,0.858870778,0.891656844,0.862945254,0.040522583,0.746602682,0.193801552,0.588723949,0.946187331,0.973679441,0.826742997,0.721902977,0.886923188,0.325303718,0.293987716,0.691950002,0.576008892,0.036048527,0.576262662,0.582550009,0.299156585,0.567337654,0.582759391,0.96456509,0.018616662,0.246384632,0.331107955,0.402563834,0.89253153,0.588287352,0.471828724,0.6342315,0.02590734,0.154460287,0.022152697,0.74100752,0.641945494,0.380170736,0.876613016,0.197435809,0.901731997,0.124980332,0.325462602,0.98712802,0.064575912,0.587441873,0.28707781
1:03,0.839969321,0.1071404,0.30234124,0.627786758,0.379421482,0.278734657,0.599195556,0.86072334,0.642134313,0.949641339,0.019309365,0.257935818,0.835588188,0.914403389,0.817685674,0.609558714,0.82037113,0.759398127,0.956143371,0.83206923,0.422136804,0.816830513,0.584514074,0.228604694,0.089063675,0.085620408,0.288199153,0.735705203,0.078471665,0.216368002,0.788274956,0.067687847,0.069234812,0.951957369,0.262271812,0.846081414,0.545566872,0.857668359,0.091768297,0.271521742,0.633548838,0.100813024,0.510301444,0.020391932,0.695983105,0.038330595,0.936463657,0.20155625,0.52104862,0.167890106,0.368201129,0.735471893,0.405951016,0.860907948,0.344473072,0.923602817,0.308694962,0.851903176,0.473325605,0.581231996,0.604112189,0.766787089
1:04,0.300076124,0.705126143,0.801203926,0.620148166,0.901498855,0.904183083,0.409799793,0.418349566,0.782594525,0.815090307,0.115363235,0.853557925,0.352035619,0.354284262,0.07931799,0.045567536,0.294318713,0.308062732,0.2806274,0.05685374,0.863872613,0.436353835,0.517819822,0.593578794,0.458028602,0.953636789,0.046661361,0.81192713,0.513413455,0.42995354,0.801785004,0.478148496,0.173457558,0.435458373,0.88431794,0.721229468,0.640176179,0.438799471,0.112847048,0.903218712,0.662432297,0.298534084,0.100097828,0.790003283,0.408891191,0.306049677,0.790090673,0.246836258,0.637455889,0.269834972,0.732896062,0.916020518,0.69713297,0.302634655,0.126354724,0.208520531,0.943621177,0.61494617,0.066290936,0.379377785,0.275946205,0.952061247
1:05,0.837411685,0.097945744,0.226184975,0.992186299,0.972969427,0.366990702,0.736598293,0.958121014,0.462359702,0.901717163,0.170413887,0.94440175,0.113530068,0.469510226,0.868072389,0.516790685,0.914615175,0.526620644,0.120913929,0.220500997,0.747656195,0.420485362,0.019274131,0.853574565,0.760729643,0.707259131,0.338458742,0.791182604,0.65608172,0.71347136,0.418204447,0.805112147,0.145315259,0.828673827,0.572739154,0.385039004,0.416901636,0.041663048,0.686175271,0.378644009,0.252011937,0.450210646,0.223353801,0.498559179,0.035764546,0.670521529,0.427928405,0.206552427,0.464996224,0.23509489,0.206138025,0.478375433,0.890362177,0.816434351,0.003797193,0.356981723,0.38575567,0.868269776,0.212349378,0.442295967,0.382058432,0.978860334
1:06,0.15581407,0.198270197,0.575694069,0.857868182,0.464051413,0.676580755,0.474088351,0.47246715,0.810051709,0.270033586,0.550910773,0.440265934,0.611987209,0.711507587,0.24289339,0.046914914,0.503068067,0.570898878,0.190690247,0.723332024,0.356276758,0.843120716,0.209322171,0.354413381,0.516883835,0.813571145,0.706624703,0.039082218,0.985207611,0.738993055,0.483903411,0.17704041,0.847633452,0.994221206,0.783098897,0.313251061,0.937410039,0.739977441,0.301200499,0.078185772,0.112833614,0.547916538,0.935314944,0.071562695,0.77925693,0.599352786,0.335496185,0.159104952,0.179313105,0.300645459,0.688320929,0.512150501,0.412854122,0.515558459,0.900858449,0.002414503,0.593948965,0.028175625,0.222380414,0.499900862,0.41490343,0.8090757
1:07,0.59713981,0.930972911,0.934806202,0.442112028,0.218843008,0.540451407,0.900352443,0.557663467,0.876260286,0.326335009,0.831759628,0.522099112,0.704891347,0.445787521,0.343956061,0.363198937,0.245515845,0.595916793,0.668502969,0.388706871,0.720147516,0.85678208,0.237257655,0.973378926,0.636899467,0.953584107,0.97799767,0.282969776,0.227593848,0.194263224,0.417076267,0.924207495,0.977170895,0.267968115,0.601759556,0.949418406,0.692825905,0.11236349,0.495392254,0.344847974,0.130603121,0.798385264,0.846748473,0.65732559,0.178894241,0.432327231,0.12123267,0.462382509,0.403631864,0.1499716,0.617530725,0.36422935,0.94023744,0.722931959,0.738033386,0.682062407,0.071212766,0.70300953,0.421778086,0.624664575,0.495144064,0.773948374
1:08,0.738423461,0.755864404,0.038732192,0.19063831,0.42178756,0.590240064,0.047486384,0.639076643,0.062585641,0.277639978,0.320420807,0.551210085,0.064261712,0.339024333,0.306379117,0.208739578,0.203837435,0.677028852,0.587872604,0.491910068,0.711062635,0.719009666,0.496151099,0.245004825,0.469268488,0.62925111,0.877104382,0.83259475,0.010545448,0.121087741,0.659996684,0.612416182,0.402699862,0.190858541,0.663584438,0.569934799,0.524130377,0.224357375,0.437552816,0.197730039,0.204016013,0.013029181,0.913090796,0.943788926,0.730861854,0.943548113,0.868331591,0.571310054,0.507972467,0.848522202,0.479223188,0.805263644,0.239132631,0.364808985,0.27395641,0.761020428,0.726389194,0.521445196,0.556618667,0.028367793,0.391226392,0.242441728
1:09,0.201830007,0.026708923,0.813551127,0.369912939,0.148635668,0.982484611,0.467827464,0.2283806,0.787801282,0.710713188,0.46613711,0.461803099,0.594744916,0.641848717,0.674148193,0.954780907,0.060161529,0.240323422,0.220443794,0.707718648,0.299776978,0.506035607,0.553125049,0.431707349,0.822943834,0.154521872,0.648896115,0.98230122,0.838247055,0.430592951,0.152278963,0.550505298,0.824166737,0.461657135,0.72005172,0.115992027,0.928944341,0.062270863,0.178783125,0.172792876,0.411076773,0.138814124,0.483203729,0.320007328,0.171982648,0.77835733,0.471885569,0.699903102,0.320182961,0.522539349,0.630610409,0.704786424,0.945207224,0.09963071,0.571682505,0.839625709,0.381139168,0.394369354,0.423066112,0.559132916,0.866363839,0.149567834
1:10,0.317421236,0.223043923,0.3521974,0.558954741,0.260267155,0.96362032,0.220843776,0.91756636,0.852158122,0.988105021,0.910517916,0.712748131,0.775015146,0.191971568,0.852562683,0.502201268,0.09929136,0.461894232,0.32593163,0.389031396,0.473900525,0.147160043,0.864503071,0.357955042,0.031807672,0.681507583,0.431223894,0.898695407,0.023683941,0.403591314,0.388261615,0.813032131,0.16706837,0.404910255,0.201342509,0.426610223,0.717402498,0.23470234,0.999746061,0.392773018,0.849779484,0.063260968,0.091932342,0.503829746,0.491918858,0.288751999,0.676253579,0.584024123,0.59575679,0.824787857,0.668110733,0.11706045,0.235330367,0.123872691,0.54865774,0.919387587,0.100306059,0.351603624,0.497540742,0.454953152,0.27824124,0.839907163
1:11,0.956156586,0.237880523,0.607954922,0.467569682,0.704299652,0.099536384,0.870655732,0.890071407,0.985782691,0.829173934,0.750870523,0.188196105,0.10330177,0.698610202,0.463754328,0.225604619,0.57875517,0.356046492,0.465022363,0.937889384,0.34700884,0.488396797,0.10748681,0.338966938,0.809893513,0.417034811,0.059041037,0.819120092,0.873924247,0.645459593,0.851155005,0.204033378,0.05624614,0.078266393,0.109902874,0.954815684,0.833467868,0.989016403,0.720514587,0.420323033,0.974135327,0.711446378,0.039511626,0.626477363,0.744495416,0.002230768,0.23252939,0.3633848,0.1777835,0.787839019,0.203507804,0.780311954,0.966275323,0.273340799,0.107449628,0.914349994,0.139446452,0.516779631,0.24831943,0.278731062,0.03426026,0.742882364
1:12,0.623095968,0.852363186,0.148633838,0.809860805,0.683382296,0.829345349,0.480821677,0.524905654,0.758375474,0.448575528,0.808587498,0.322187097,0.029412496,0.441520427,0.569227286,0.259769036,0.14478011,0.562368384,0.35934059,0.88251724,0.647812527,0.38790983,0.783813764,0.935733231,0.430900034,0.293982909,0.641131707,0.053541937,0.223616247,0.215148649,0.529200026,0.103041538,0.466357129,0.602583947,0.435131835,0.21307309,0.919418469,0.853526704,0.663830792,0.776336915,0.227803469,0.659171035,0.517966408,0.895425063,0.114435955,0.638806378,0.1314579,0.116961601,0.161137298,0.479804737,0.594990291,0.27032921,0.406791959,0.489770492,0.367894323,0.536170678,0.759205098,0.01046591,0.328228136,0.011144989,0.149426836,0.561087491
1:13,0.270337189,0.651122478,0.45979498,0.85113857,0.607930892,0.892910395,0.383730405,0.029493807,0.390433069,0.960876174,0.890082332,0.955289583,0.236001546,0.202894762,0.797854317,0.786404123,0.117828243,0.514519225,0.02570235,0.418632214,0.815989154,0.996993607,0.186613922,0.082232961,0.762003353,0.085371573,0.760426893,0.135548824,0.283208407,0.364758732,0.95863853,0.616310021,0.155067376,0.54983626,0.076538453,0.829628081,0.4727185,0.449131533,0.327171705,0.245415993,0.280886692,0.031358926,0.52220257,0.669895472,0.26709566,0.721055896,0.784186837,0.880919787,0.724719254,0.882757073,0.157651838,0.194289885,0.857466658,0.921945471,0.795182933,0.608082043,0.788054811,0.65612557,0.614778239,0.914452868,0.405509826,0.697778995
1:14,0.344451529,0.297250657,0.681839521,0.590590698,0.484113437,0.135346938,0.163879918,0.749280489,0.417839541,0.494701324,0.696227033,0.509018971,0.829509597,0.950898769,0.352041445,0.674691703,0.473190384,0.492493873,0.189836929,0.709173557,0.449669455,0.056151762,0.710353528,0.607546171,0.526772317,0.555212231,0.052807142,0.174934397,0.118591006,0.467409837,0.499038265,0.873397414,0.245290005,0.820101302,0.570166019,0.658448011,0.794033896,0.272473838,0.62501196,0.650012813,0.020557092,0.996165499,0.568969598,0.637232444,0.71069462,0.563324841,0.490693746,0.779905876,0.366056241,0.641843643,0.813400357,0.07172163,0.840974655,0.926950806,0.049728694,0.672648661,0.262225686,0.157003417,0.506837759,0.848747683,0.825314216,0.936839431
1:15,0.449836012,0.694570724,0.869893301,0.53976892,0.149350016,0.415602442,0.616209081,0.60533299,0.234175285,0.927745135,0.710403897,0.707577751,0.032782184,0.001309238,0.053972227,0.147579963,0.692696777,0.833963592,0.151615118,0.422141995,0.438964907,0.096768282,0.717268269,0.987090139,0.090058801,0.324912253,0.64319953,0.424445375,0.793927244,0.820119741,0.159272675,0.878610279,0.354906625,0.370888636,0.730871631,0.648875698,0.996196066,0.057315016,0.428682815,0.413105758,0.588840352,0.114092427,0.432213412,0.237332452,0.908633404,0.397924162,0.087236921,0.96961709,0.952742563,0.3573709,0.266936603,0.884564646,0.79099345,0.268935172,0.755150727,0.450178988,0.883834995,0.830303126,0.929103168,0.037076809,0.863214146,0.059370694
1:16,0.870017088,0.274152175,0.61002875,0.186255496,0.947732518,0.5021908,0.774284843,0.684653205,0.938041535,0.22674756,0.646455364,0.4998252,0.904359846,0.706855095,0.42821458,0.617098205,0.612851512,0.501355068,0.649038617,0.576741034,0.303435249,0.004693109,0.667630802,0.440930081,0.548534699,0.558168489,0.140228737,0.839462097,0.287832066,0.138280335,0.400225108,0.571580712,0.225265663,0.200007399,0.077066619,0.798255017,0.736020492,0.359884637,0.184576358,0.595852381,0.436188788,0.776125572,0.888654156,0.101203974,0.745367699,0.687088079,0.934302945,0.024496143,0.161133916,0.47023802,0.102828919,0.727906329,0.170395734,0.235088068,0.68753865,0.130866218,0.57302382,0.861001321,0.93994951,0.180075042,0.060975469,0.315591516
1:17,0.340948244,0.329671496,0.429118711,0.305921588,0.827027804,0.552833573,0.901478815,0.689578086,0.128146095,0.571159455,0.743288089,0.37334722,0.576786422,0.843580607,0.443918773,0.542977695,0.107943033,0.212865955,0.750137862,0.469032451,0.346196602,0.115866295,0.828985121,0.819136984,0.403585906,0.401920472,0.916006651,0.49507924,0.128114364,0.676723677,0.615512096,0.036983418,0.119873228,0.795658467,0.837286004,0.221423279,0.010684027,0.164945259,0.760587275,0.173314175,0.187107928,0.394957086,0.686449782,0.56375609,0.719395146,0.468818296,0.31611584,0.557913587,0.692845449,0.341504818,0.03550206,0.352578566,0.285744057,0.786641953,0.556573291,0.317778731,0.503598062,0.388334912,0.787768805,0.098776327,0.304656426,0.065153672
1:18,0.473278147,0.607728184,0.285447694,0.170989944,0.933683826,0.683358484,0.674819464,0.200273357,0.54815493,0.830485396,0.463244188,0.343209865,0.305475891,0.297019481,0.661351412,0.556292553,0.894109764,0.673884796,0.686596022,0.911099737,0.604231796,0.035032878,0.991787837,0.643921608,0.771755558,0.964470501,0.632546059,0.65774958,0.752758106,0.187130552,0.711781895,0.147961672,0.821049106,0.504827104,0.659991616,0.62116315,0.279926951,0.946487762,0.249944865,0.65093093,0.206006829,0.279474127,0.921623763,0.512393253,0.352630918,0.046100364,0.554359175,0.259725446,0.657285911,0.228856955,0.813796879,0.075114795,0.646663943,0.25799137,0.872994099,0.057988461,0.22184534,0.473138535,0.812123476,0.670092685,0.824086799,0.642133379
1:19,0.831678603,0.873019223,0.117076018,0.889429647,0.154101225,0.717920971,0.276997727,0.056686509,0.559250964,0.420842596,0.829211113,0.206502476,0.157862868,0.333260052,0.982592295,0.172983413,0.280464475,0.217205317,0.714256185,0.919645446,0.501953997,0.36286687,0.227290023,0.536469278,0.377634461,0.444169798,0.673823407,0.499968937,0.07978574,0.775435832,0.038134288,0.415097686,0.2268012,0.039452753,0.846965671,0.695121567,0.782293477,0.897453555,0.394324684,0.540997373,0.498514551,0.274153629,0.61500798,0.132766318,0.120422893,0.048000069,0.993168649,0.079244062,0.248662838,0.34700824,0.168582152,0.759535686,0.459754838,0.866914726,0.714623053,0.978133002,0.405742859,0.056817863,0.094411082,0.630003653,0.620246348,0.883965635
1:20,0.327688319,0.970063925,0.580617841,0.837972895,0.024554961,0.518786109,0.199449551,0.25180506,0.587092218,0.149794838,0.337266149,0.198712194,0.954859195,0.33857893,0.446180602,0.493816448,0.502330454,0.848720585,0.301688798,0.959555091,0.457173017,0.902413708,0.039905244,0.526083044,0.203775832,0.790773464,0.264030434,0.769215679,0.280158446,0.870379702,0.195902453,0.943796607,0.54492222,0.977161317,0.748495575,0.655688115,0.590418872,0.006621871,0.372348484,0.559022382,0.681914206,0.740129716,0.619408795,0.144153395,0.476270652,0.406941533,0.998428167,0.619185526,0.586867573,0.567559408,0.868482783,0.01062048,0.741534043,0.988778667,0.63210015,0.950445185,0.17455319,0.545942871,0.092898702,0.149469717,0.117020549,0.555076332
1:21,0.917442525,0.314156941,0.873753209,0.82735127,0.780821407,0.770548382,0.666501986,0.43906491,0.794905302,0.170950788,0.303051067,0.45175003,0.539428963,0.545259192,0.428249136,0.852326098,0.669960761,0.116469886,0.031805829,0.412594437,0.326082179,0.446407109,0.553573466,0.076613525,0.657461256,0.760082325,0.0449931,0.692045226,0.590668591,0.017835056,0.790124962,0.062324438,0.070588633,0.542731398,0.563683476,0.479552112,0.095344101,0.023292011,0.657288904,0.009435684,0.228814004,0.967980465,0.507741563,0.188562305,0.595306467,0.206367377,0.062876185,0.809133847,0.587561528,0.970022211,0.159103849,0.180323804,0.241179707,0.140826837,0.345191193,0.856554243,0.319735956,0.342199315,0.897246647,0.836910118,0.14581955,0.278233597
1:22,0.76203617,0.520411419,0.312919804,0.426519316,0.369644475,0.122188095,0.007703334,0.494526688,0.925576787,0.68798715,0.981371425,0.272905711,0.977117216,0.353422668,0.934792418,0.656828258,0.185674311,0.948183219,0.005287356,0.97307002,0.552206993,0.754470881,0.587344685,0.365876431,0.739240747,0.676595209,0.411215728,0.337997006,0.733655779,0.147336585,0.665515066,0.234779315,0.674344822,0.944323238,0.636324027,0.331084994,0.573825362,0.978609972,0.784557477,0.064083334,0.976300992,0.88154103,0.944398982,0.869671948,0.406023031,0.204722917,0.551320034,0.054833743,0.704398753,0.10344277,0.814096761,0.706879492,0.962417733,0.877849142,0.651373705,0.44040719,0.786351094,0.251943908,0.88436981,0.591627071,0.729382515,0.502916901
1:23,0.603306213,0.488180522,0.493383186,0.544970204,0.927452947,0.663702185,0.475075648,0.947669548,0.306237788,0.123600952,0.309902263,0.07236085,0.265849936,0.412723684,0.403798788,0.495083376,0.446053401,0.042613001,0.130120069,0.8841478,0.7636506,0.198624399,0.783468232,0.109016333,0.193483739,0.31843244,0.978716609,0.201265009,0.542011806,0.504489784,0.626633851,0.961521349,0.431454367,0.87497605,0.450289957,0.346243944,0.949967261,0.071533977,0.339392106,0.009770883,0.264774678,0.895603686,0.414444157,0.187920564,0.205940635,0.552454856,0.530266752,0.079628947,0.588538059,0.074083309,0.914606522,0.918129459,0.856489264,0.101239138,0.573512031,0.562397826,0.272046027,0.963396167,0.453955479,0.380430249,0.731415042,0.863621466
1:24,0.866885343,0.056408026,0.973006197,0.015614341,0.867493193,0.875506144,0.334438986,0.094165203,0.272217633,0.886556614,0.655051006,0.580535611,0.153673864,0.228994209,0.756622926,0.211804408,0.614736362,0.526736507,0.356087826,0.899939662,0.803868217,0.182141049,0.638832723,0.009179883,0.282188522,0.791907261,0.87884171,0.493045893,0.948567941,0.769266732,0.496848224,0.264199608,0.872021875,0.423150477,0.345413246,0.521037171,0.3835815,0.689788556,0.048697662,0.533521806,0.695305305,0.873848696,0.808326508,0.654796042,0.265513248,0.749971299,0.794975397,0.199339347,0.697641461,0.954365997,0.415953237,0.870511193,0.70875441,0.11852905,0.725953572,0.439805786,0.121163677,0.138125574,0.04466244,0.805745744,0.509818123,0.57605557
1:25,0.825271501,0.650581163,0.361701837,0.883518698,0.530243905,0.632791565,0.526340495,0.831934132,0.285572253,0.038779391,0.11652084,0.016766043,0.593438959,0.648555265,0.028600065,0.950048503,0.8163921,0.27544094,0.308130161,0.409821542,0.792615172,0.930936251,0.327289246,0.777977646,0.029629598,0.698815164,0.678165483,0.083199168,0.510937287,0.702335211,0.411916577,0.887375888,0.763563944,0.500314914,0.258486581,0.087262417,0.699589322,0.41980741,0.885562714,0.096016599,0.280696903,0.295465397,0.693429887,0.395942004,0.338930142,0.984713035,0.645314203,0.203270622,0.872481911,0.680350195,0.832470449,0.877685655,0.137132826,0.453819801,0.800546038,0.607470666,0.719560696,0.593254282,0.666229524,0.893016563,0.927182579,0.198216477
1:26,0.626470224,0.709932159,0.426850766,0.548773785,0.891312548,0.149908481,0.781788151,0.884121378,0.431585594,0.929510855,0.831205891,0.064711276,0.799574645,0.483932922,0.906363769,0.48656499,0.914805591,0.622505305,0.618720909,0.989678881,0.24372378,0.52605379,0.87165154,0.183536259,0.284722511,0.390165618,0.980053884,0.230135199,0.913971456,0.530594881,0.045427692,0.630516122,0.488425674,0.263248691,0.712382783,0.604124648,0.825653116,0.706248539,0.184151806,0.321858973,0.262416791,0.598170655,0.381666322,0.471469699,0.126109677,0.362923813,0.487421415,0.002512336,0.303865685,0.024536822,0.668131307,0.972342395,0.504153402,0.199530042,0.580038708,0.893948941,0.486261925,0.300552135,0.068649924,0.1302328,0.070480773,0.700827183
1:27,0.867791945,0.032749911,0.872760974,0.770492672,0.17752664,0.985884204,0.729084638,0.818809185,0.619284594,0.301190413,0.597212137,0.3916035,0.022976337,0.122211257,0.554256441,0.94833499,0.012936581,0.152650179,0.522376592,0.967841669,0.001146765,0.597779426,0.130739703,0.910165841,0.475980768,0.04323821,0.078248799,0.533687279,0.282560166,0.934169095,0.378014189,0.852974278,0.204606993,0.071363294,0.235591168,0.580521637,0.723356055,0.78212283,0.084508483,0.233752917,0.660702003,0.713332169,0.431151102,0.470997643,0.973741849,0.360417969,0.475515956,0.019323396,0.194674057,0.115972103,0.709702765,0.655013508,0.22710628,0.23085988,0.118767898,0.50860823,0.779528752,0.712065479,0.485597142,0.539723418,0.16239802,0.118873617
1:28,0.355134832,0.676650489,0.172594772,0.054796275,0.102107129,0.751287115,0.877675708,0.453121894,0.52622147,0.998337875,0.580414039,0.878635556,0.144765099,0.215757265,0.151575965,0.328015598,0.180763428,0.072840454,0.418899592,0.908023977,0.319131501,0.606371342,0.175808412,0.845174965,0.019068859,0.804986761,0.89060702,0.344087732,0.785366663,0.837266561,0.352104864,0.756246242,0.634940291,0.06081567,0.852200783,0.372598874,0.433630622,0.863369462,0.292091245,0.754375894,0.564142249,0.641476206,0.022100761,0.245282768,0.078547737,0.905451911,0.54321751,0.982404149,0.142854508,0.997893396,0.226005082,0.067412806,0.38851114,0.823275411,0.706978987,0.128464808,0.057472249,0.759502813,0.288936956,0.542998757,0.79474996,0.952931458
1:29,0.784451786,0.873480122,0.545026503,0.214633466,0.580501898,0.250945338,0.055691976,0.900912268,0.358232051,0.728722164,0.577379608,0.385955231,0.236330222,0.801721998,0.489197839,0.390275307,0.852250626,0.676596926,0.04759529,0.822601777,0.357131451,0.545052994,0.302799536,0.476439852,0.356727476,0.786128706,0.793063811,0.670817346,0.417316372,0.167419314,0.263679968,0.140764778,0.597042531,0.214306476,0.514211488,0.623768005,0.955915386,0.734256391,0.964959549,0.938903741,0.987203286,0.520719237,0.789688856,0.607668652,0.844370909,0.092123658,0.18927806,0.30608303,0.003143026,0.832458134,0.756894552,0.750591808,0.354713161,0.480666243,0.329656151,0.435672706,0.105153144,0.971407241,0.18314798,0.654569,0.176348797,0.042861634
1:30,0.431432723,0.068185135,0.507307126,0.349962547,0.339006332,0.023080373,0.326017077,0.079126435,0.801648149,0.355007678,0.036844325,0.378605003,0.203076957,0.947357886,0.3956519,0.205643198,0.107076552,0.127204406,0.17411759,0.736043913,0.653879659,0.348638109,0.448350841,0.633326783,0.061293171,0.695109935,0.542389272,0.698334126,0.293062079,0.175514022,0.726163218,0.616766455,0.405855339,0.448463199,0.632327711,0.61079053,0.108190026,0.720260391,0.134556732,0.628537532,0.982465823,0.945343196,0.705230469,0.557280305,0.411118113,0.082072321,0.10736802,0.133544319,0.991425364,0.314590207,0.578874396,0.429507104,0.869207701,0.964018579,0.446630159,0.995252555,0.579037191,0.563130842,0.668062047,0.135058414,0.452063591,0.143233634
1:31,0.195964096,0.179769348,0.009488595,0.080920602,0.535109346,0.29042756,0.229417157,0.3423498,0.425772778,0.564790568,0.876131262,0.258407404,0.456265668,0.257603962,0.624856093,0.964834226,0.034643295,0.262692307,0.402725412,0.67726701,0.638852363,0.772175435,0.862377211,0.45299706,0.021913322,0.222230139,0.589636552,0.756962467,0.984022216,0.222819307,0.277823732,0.335742478,0.421221308,0.783726978,0.436911047,0.945745039,0.094515977,0.760012784,0.068372688,0.708693318,0.352749027,0.287183825,0.539351058,0.096629249,0.5315612,0.895134197,0.357686709,0.255059408,0.323825563,0.909259757,0.028614374,0.994766951,0.050898722,0.863314683,0.504573917,0.836806078,0.024708472,0.336218749,0.973346482,0.086812694,0.144696229,0.0818172
